Name,Angle,Cyclic,Dihedral
12838515965_953f3d118f_b_01_000.png,0,0,1
12838515965_953f3d118f_b_01_010.png,10,0,1
12838515965_953f3d118f_b_01_020.png,20,0,1
12838515965_953f3d118f_b_01_030.png,30,0,1
12838515965_953f3d118f_b_01_040.png,40,0,1
12838515965_953f3d118f_b_01_050.png,50,0,1
12838515965_953f3d118f_b_01_060.png,60,0,1
12838515965_953f3d118f_b_01_070.png,70,0,1
12838515965_953f3d118f_b_01_080.png,80,0,1
12838515965_953f3d118f_b_01_090.png,90,0,1
12838515965_953f3d118f_b_01_100.png,100,0,1
12838515965_953f3d118f_b_01_110.png,110,0,1
12838515965_953f3d118f_b_01_120.png,120,0,1
12838515965_953f3d118f_b_01_130.png,130,0,1
12838515965_953f3d118f_b_01_140.png,140,0,1
12838515965_953f3d118f_b_01_150.png,150,0,1
12838515965_953f3d118f_b_01_160.png,160,0,1
12838515965_953f3d118f_b_01_170.png,170,0,1
12838515965_953f3d118f_b_02_000.png,0,0,2
12838515965_953f3d118f_b_02_010.png,10,0,2
12838515965_953f3d118f_b_02_020.png,20,0,2
12838515965_953f3d118f_b_02_030.png,30,0,2
12838515965_953f3d118f_b_02_040.png,40,0,2
12838515965_953f3d118f_b_02_050.png,50,0,2
12838515965_953f3d118f_b_02_060.png,60,0,2
12838515965_953f3d118f_b_02_070.png,70,0,2
12838515965_953f3d118f_b_02_080.png,80,0,2
12838515965_953f3d118f_b_03_000.png,0,0,3
12838515965_953f3d118f_b_03_010.png,10,0,3
12838515965_953f3d118f_b_03_020.png,20,0,3
12838515965_953f3d118f_b_03_030.png,30,0,3
12838515965_953f3d118f_b_03_040.png,40,0,3
12838515965_953f3d118f_b_03_050.png,50,0,3
12838515965_953f3d118f_b_04_000.png,0,0,4
12838515965_953f3d118f_b_04_010.png,10,0,4
12838515965_953f3d118f_b_04_020.png,20,0,4
12838515965_953f3d118f_b_04_030.png,30,0,4
12838515965_953f3d118f_b_04_040.png,40,0,4
12838515965_953f3d118f_b_05_000.png,0,0,5
12838515965_953f3d118f_b_05_010.png,10,0,5
12838515965_953f3d118f_b_05_020.png,20,0,5
12838515965_953f3d118f_b_05_030.png,30,0,5
12838515965_953f3d118f_b_06_000.png,0,0,6
12838515965_953f3d118f_b_06_010.png,10,0,6
12838515965_953f3d118f_b_06_020.png,20,0,6
12838515965_953f3d118f_b_07_000.png,0,0,7
12838515965_953f3d118f_b_07_010.png,10,0,7
12838515965_953f3d118f_b_07_020.png,20,0,7
12838515965_953f3d118f_b_08_000.png,0,0,8
12838515965_953f3d118f_b_08_010.png,10,0,8
12838515965_953f3d118f_b_08_020.png,20,0,8
12838515965_953f3d118f_b_09_000.png,0,0,9
12838515965_953f3d118f_b_09_010.png,10,0,9
27566794996_2aa19c335d_b_01_000.png,0,0,1
27566794996_2aa19c335d_b_01_010.png,10,0,1
27566794996_2aa19c335d_b_01_020.png,20,0,1
27566794996_2aa19c335d_b_01_030.png,30,0,1
27566794996_2aa19c335d_b_01_040.png,40,0,1
27566794996_2aa19c335d_b_01_050.png,50,0,1
27566794996_2aa19c335d_b_01_060.png,60,0,1
27566794996_2aa19c335d_b_01_070.png,70,0,1
27566794996_2aa19c335d_b_01_080.png,80,0,1
27566794996_2aa19c335d_b_01_090.png,90,0,1
27566794996_2aa19c335d_b_01_100.png,100,0,1
27566794996_2aa19c335d_b_01_110.png,110,0,1
27566794996_2aa19c335d_b_01_120.png,120,0,1
